Borough,Description,White,Black or African American,American Indian and Alaskan,Asian,Nat.Hawaiian and Othe Pac.,Some Other,Two or More Races
New York,Total,918058,245256,5988,184945,1052,197648,65451
New York,Male,441249,113098,2588,80734,521,93365,31178
New York,Male_Under_18,54912,22915,535,8869,55,23187,10407
New York,Male_18_and_over,386337,90183,2053,71865,466,70178,20771
New York,Female,476809,132158,3400,104211,531,104283,34273
New York,Female_Under_18,51728,22536,735,9454,27,22061,10501
New York,Female_18_and_over,425081,109622,2665,94757,504,82222,23772
Queens,Total,946565,424129,8771,546900,1191,272214,80832
Queens,Male,466935,191538,4464,266037,504,136126,39457
Queens,Male_Under_18,87808,47958,1292,54630,131,34378,13263
Queens,Male_18_and_over,379127,143580,3172,211407,373,101748,26194
Queens,Female,479630,232591,4307,280863,687,136088,41375
Queens,Female_Under_18,83692,47582,1053,50355,174,33552,12414
Queens,Female_18_and_over,395938,185009,3254,230508,513,102536,28961
Brooklyn,Total,1121903,871044,9135,286727,621,224112,57259
Brooklyn,Male,548024,383235,4741,140398,415,112221,27006
Brooklyn,Male_Under_18,129390,103041,1334,32169,50,31490,10528
Brooklyn,Male_18_and_over,418634,280194,3407,108229,365,80731,16478
Brooklyn,Female,573879,487809,4394,146329,206,111891,30253
Brooklyn,Female_Under_18,122879,101635,1127,29638,16,29964,11212
Brooklyn,Female_18_and_over,451000,386174,3267,116691,190,81927,19041
Bronx,Total,304110,477844,7936,50800,660,520667,51549
Bronx,Male,145501,218699,3707,24499,289,247391,24420
Bronx,Male_Under_18,30109,61721,1029,5733,93,78861,9867
Bronx,Male_18_and_over,115392,156978,2678,18766,196,168530,14553
Bronx,Female,158609,259145,4229,26301,371,273276,27129
Bronx,Female_Under_18,28624,60521,1093,5535,81,75220,9018
Bronx,Female_18_and_over,129985,198624,3136,20766,290,198056,18111
